Subject ID Number	Age (years)	Height (inches)	Weight (pounds)
1	1	27 	29 
2	17	58 	75 
3	15	39 	84 
4	3	54 	33 
5	11	134 	101 
6	10	124 	104 
7	13	50 	102 
8	4	32 	48 
9	2	40 	26 
10	15	84 	159 
11	11	35 	46 
12	9	78 	78 
13	1	27 	30 
14	4	60 	60 
15	1	29 	34 
16	9	69 	33 
17	13	102 	50 
18	14	122 	52 
19	12	144 	72 
20	18	96 	114 
21	4	48 	48 
22	10	84 	64 
23	4	64 	60 
24	10	124 	94 
25	6	60 	84 
26	2	40 	30 
27	1	32 	32 
28	5	34 	64 
29	13	141 	89 
30	4	60 	48 
31	5	54 	29 
32	12	72 	72 
33	14	136 	150 
34	4	52 	56 
35	13	37 	154 
36	15	144 	99 
37	14	150 	164 
38	5	74 	49 
39	11	35 	101 
40	17	75 	58 
41	13	89 	63 
42	6	84 	48 
43	7	38 	59 
44	3	33 	51 
45	14	80 	80 
46	3	48 	42 
47	1	33 	32 
48	3	39 	51 
49	2	28 	30 
50	13	141 	37 
51	15	144 	84 
52	12	36 	120 
53	18	114 	204 
54	17	58 	194 
55	6	78 	30 
56	16	72 	184 
57	11	68 	90 
58	3	54 	48 
59	14	80 	94 
60	5	59 	34 
61	17	58 	58 
62	17	41 	160 
63	10	44 	94 
64	3	36 	45 
65	18	204 	114 
66	15	129 	39 
67	9	87 	96 
68	15	114 	84 
69	14	66 	122 
70	18	114 	96 
71	15	114 	84 
72	7	45 	73 
73	14	108 	80 
74	14	80 	66 
75	3	42 	39 
76	18	204 	114 
77	18	186 	186 
78	1	32 	25 
79	12	132 	96 
80	4	52 	28 
81	2	32 	44 
82	2	38 	32 
83	1	34 	33 
84	3	42 	36 
85	14	80 	94 
86	13	154 	76 
87	9	78 	96 
88	15	144 	159 
89	17	92 	75 
90	18	132 	204 
91	7	66 	45 
92	10	44 	44 
93	2	38 	34 
94	14	164 	52 
95	1	34 	30 
96	9	96 	78 
97	8	96 	48 
98	6	30 	78 
99	16	72 	120 
100	2	26 	28 
101	9	96 	87 
102	11	57 	90 
103	8	72 	104 
104	8	40 	72 
105	11	112 	46 
106	12	60 	72 
107	13	154 	102 
108	11	112 	112 
109	6	78 	48 
110	4	28 	52 
111	16	72 	168 
112	10	34 	74 
113	6	42 	66 
114	8	96 	72 
115	18	204 	132 
116	3	30 	27 
117	17	194 	92 
118	15	159 	54 
119	14	94 	150 
120	15	129 	39 
121	13	63 	76 
122	2	38 	42 
123	17	109 	109 
124	11	46 	68 
125	1	34 	30 
126	16	152 	72 
127	14	136 	52 
128	13	102 	154 
129	16	40 	88 
130	2	30 	40 
131	9	96 	60 
132	1	27 	31 
133	4	56 	52 
134	15	84 	129 
135	11	79 	123 
136	11	46 	123 
137	3	33 	42 
138	13	115 	102 
139	18	96 	186 
140	8	40 	40 
141	6	60 	78 
142	10	84 	34 
143	2	40 	36 
144	17	194 	58 
145	3	27 	36 
146	18	42 	204 
147	3	51 	42 
148	6	84 	78 
149	1	25 	30 
150	4	32 	36 
151	4	56 	60 
152	1	29 	34 
153	9	69 	114 
154	3	36 	42 
155	17	41 	160 
156	14	38 	150 
157	13	63 	115 
158	17	126 	194 
159	4	36 	52 
160	17	75 	109 
161	15	129 	99 
162	10	104 	124 
163	10	114 	34 
164	13	128 	50 
165	2	44 	36 
166	16	168 	136 
167	16	104 	168 
168	6	60 	78 
169	3	33 	51 
170	9	87 	60 
171	7	45 	59 
172	9	42 	105 
173	10	64 	104 
174	2	42 	42 
175	2	26 	38 
176	5	29 	39 
177	15	144 	159 
178	3	39 	30 
179	9	96 	69 
180	6	48 	78 
181	4	60 	56 
182	2	32 	26 
183	12	132 	84 
184	3	30 	27 
185	18	204 	78 
186	18	42 	42 
187	7	38 	31 
188	11	35 	35 
189	18	42 	150 
190	11	79 	112 
191	15	99 	174 
192	5	74 	34 
193	12	36 	48 
194	14	164 	164 
195	14	150 	80 
196	9	105 	96 
197	1	30 	34 
198	9	87 	96 
199	11	46 	46 
200	16	56 	88 
201	10	34 	94 
202	11	90 	57 
203	6	42 	30 
204	3	42 	51 
205	10	84 	74 
206	4	64 	48 
207	11	134 	101 
208	9	78 	60 
209	3	51 	51 
210	12	72 	72 
211	1	29 	34 
212	2	44 	38 
213	1	31 	25 
214	8	64 	72 
215	3	51 	48 
216	14	150 	108 
217	9	69 	114 
218	2	44 	36 
219	12	36 	60 
220	1	28 	25 
221	2	40 	32 
222	7	73 	87 
223	7	59 	66 
224	3	48 	39 
225	3	36 	39 
226	8	104 	96 
227	8	64 	72 
228	1	33 	31 
229	11	134 	123 
230	16	168 	88 
231	6	72 	42 
232	13	128 	76 
233	4	28 	32 
234	8	40 	72 
235	11	123 	79 
236	1	32 	31 
237	1	28 	31 
238	6	54 	84 
